##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	RACE-m89-1-minG-noNEP_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	2111540
Total Bases	316.7 Mbp
Sequences flagged as poor quality	0
Sequence length	150
%GC	41
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.54637136876403	37.0	37.0	37.0	37.0	37.0
2	36.339681938300956	37.0	37.0	37.0	37.0	37.0
3	36.48258759010012	37.0	37.0	37.0	37.0	37.0
4	36.527692584559134	37.0	37.0	37.0	37.0	37.0
5	36.45464258313837	37.0	37.0	37.0	37.0	37.0
6	36.46866362938898	37.0	37.0	37.0	37.0	37.0
7	36.37342224158671	37.0	37.0	37.0	37.0	37.0
8	36.72834803034752	37.0	37.0	37.0	37.0	37.0
9	36.61904297337488	37.0	37.0	37.0	37.0	37.0
10-14	36.55167839586274	37.0	37.0	37.0	37.0	37.0
15-19	36.516482377790624	37.0	37.0	37.0	37.0	37.0
20-24	36.567075783551346	37.0	37.0	37.0	37.0	37.0
25-29	36.44813084289192	37.0	37.0	37.0	37.0	37.0
30-34	36.505766028585775	37.0	37.0	37.0	37.0	37.0
35-39	36.4901088305218	37.0	37.0	37.0	37.0	37.0
40-44	36.2570652698978	37.0	37.0	37.0	37.0	37.0
45-49	36.14885050721275	37.0	37.0	37.0	37.0	37.0
50-54	36.458121276414374	37.0	37.0	37.0	37.0	37.0
55-59	36.4736061831649	37.0	37.0	37.0	37.0	37.0
60-64	36.40415563995946	37.0	37.0	37.0	37.0	37.0
65-69	36.367636417022645	37.0	37.0	37.0	37.0	37.0
70-74	36.20533004347538	37.0	37.0	37.0	37.0	37.0
75-79	36.36178968904212	37.0	37.0	37.0	37.0	37.0
80-84	36.325558312890124	37.0	37.0	37.0	37.0	37.0
85-89	36.13643767108366	37.0	37.0	37.0	37.0	37.0
90-94	35.81867357473692	37.0	37.0	37.0	34.6	37.0
95-99	36.31173607888082	37.0	37.0	37.0	37.0	37.0
100-104	36.3814685016623	37.0	37.0	37.0	37.0	37.0
105-109	36.26090407948701	37.0	37.0	37.0	37.0	37.0
110-114	36.27860651467649	37.0	37.0	37.0	37.0	37.0
115-119	36.129775898159636	37.0	37.0	37.0	37.0	37.0
120-124	35.43884794983756	37.0	37.0	37.0	32.2	37.0
125-129	35.84766701080728	37.0	37.0	37.0	37.0	37.0
130-134	36.054040558076096	37.0	37.0	37.0	37.0	37.0
135-139	36.073432660522656	37.0	37.0	37.0	37.0	37.0
140-144	35.655223865046366	37.0	37.0	37.0	34.6	37.0
145-149	35.35519033501615	37.0	37.0	37.0	32.2	37.0
150	36.222988434981104	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	0.09191094461149163
1101	2	0.06284766490750116
1101	3	0.015853440658709417
1101	4	-0.006635193748365964
1101	5	0.10355122143635498
1101	6	0.0653748378075889
1101	7	0.024966512480183667
1101	8	0.05250800344168738
1101	9	0.04781694979870821
1101	10-14	0.11212375881807901
1101	15-19	0.07542372549166032
1101	20-24	0.1278421971001933
1101	25-29	0.12035952882562384
1101	30-34	0.09722277461125373
1101	35-39	0.11189815635915323
1101	40-44	0.11036504951262316
1101	45-49	0.0862702989953732
1101	50-54	0.054449362618775865
1101	55-59	0.05890328894119534
1101	60-64	0.028416670883899542
1101	65-69	0.0905215776145667
1101	70-74	0.10398840276268828
1101	75-79	0.09509253296544529
1101	80-84	0.10813344267656078
1101	85-89	-0.024534380664348987
1101	90-94	0.017361839571698567
1101	95-99	0.003533129498457299
1101	100-104	0.025377710025438205
1101	105-109	-0.0053259300813124355
1101	110-114	-0.07735374640251536
1101	115-119	0.05455312942947188
1101	120-124	-0.18180602880693186
1101	125-129	-0.1051715779193998
1101	130-134	0.05891004583277493
1101	135-139	0.029936633562442694
1101	140-144	-0.018863632233703242
1101	145-149	-0.1689160776578973
1101	150	0.21231998239355931
1102	1	0.015375505655626398
1102	2	0.1501533943261535
1102	3	-0.03843102917782204
1102	4	0.07261626462453563
1102	5	0.02434366345745076
1102	6	0.1056572588381286
1102	7	0.09678900831191584
1102	8	0.0284237393565121
1102	9	0.013630152896624281
1102	10-14	0.0175841515016657
1102	15-19	0.0446367057134438
1102	20-24	0.025107728633287252
1102	25-29	0.010730811872690538
1102	30-34	0.07315091873661572
1102	35-39	0.13740461180324814
1102	40-44	2.552060102800624E-4
1102	45-49	0.03463864652105997
1102	50-54	0.04405628901251646
1102	55-59	0.05119242056419182
1102	60-64	-0.032126906697072855
1102	65-69	0.011709268306901777
1102	70-74	0.04807983603618027
1102	75-79	0.07198485309945113
1102	80-84	0.09692175370686584
1102	85-89	-0.10172640262034349
1102	90-94	-0.00807891040666675
1102	95-99	0.06485998443976371
1102	100-104	0.07107656892358705
1102	105-109	0.08612588315915559
1102	110-114	-0.07906477332886652
1102	115-119	0.012632026419368003
1102	120-124	-0.15633755990210574
1102	125-129	-0.1924352572912511
1102	130-134	-0.07563776831762681
1102	135-139	-0.02325580490307999
1102	140-144	0.03168375307151905
1102	145-149	-0.05239046368276945
1102	150	-0.04201858288714533
1103	1	0.06309682625141733
1103	2	0.14456479192654115
1103	3	0.054455323055670135
1103	4	0.03838319682612479
1103	5	0.07506784716112946
1103	6	0.15513703208126373
1103	7	0.09914289315896951
1103	8	0.016186322547007137
1103	9	0.02190623210410081
1103	10-14	-0.0014672157702335653
1103	15-19	0.004442033653624833
1103	20-24	0.08350185013251377
1103	25-29	0.050307348202885294
1103	30-34	0.04659121568164437
1103	35-39	0.11661835215090122
1103	40-44	0.004817865878742111
1103	45-49	0.03065460538910969
1103	50-54	0.009827719083233433
1103	55-59	0.006388931931212483
1103	60-64	-0.00867148298976872
1103	65-69	-0.03628588684548362
1103	70-74	0.10913284074662499
1103	75-79	0.05121187287026885
1103	80-84	0.005331216152598017
1103	85-89	-0.05752305824045578
1103	90-94	-0.01757669654477212
1103	95-99	0.07047161164565807
1103	100-104	0.06702827251830001
1103	105-109	-0.01143032815716083
1103	110-114	-0.05941465400147905
1103	115-119	0.09119020234067676
1103	120-124	-0.008742126096009883
1103	125-129	-0.07919711814538033
1103	130-134	0.04975532670361105
1103	135-139	0.04490169119742404
1103	140-144	0.038482068084078946
1103	145-149	-0.036789176221269315
1103	150	0.05714229678896743
1104	1	-0.026249101929060714
1104	2	-0.026990203274330327
1104	3	0.002716636583961929
1104	4	-0.04474082433164739
1104	5	0.043068530093407276
1104	6	-0.013209056982297795
1104	7	0.0505441629314447
1104	8	0.06275048370589076
