##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	RACE-m89-1-minG-noNEP_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	2111540
Total Bases	316.7 Mbp
Sequences flagged as poor quality	0
Sequence length	150
%GC	42
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.003430197865065	37.0	37.0	37.0	37.0	37.0
2	35.928077138013016	37.0	37.0	37.0	37.0	37.0
3	36.37367229604933	37.0	37.0	37.0	37.0	37.0
4	36.62964566146036	37.0	37.0	37.0	37.0	37.0
5	36.498706157591144	37.0	37.0	37.0	37.0	37.0
6	36.47247222406396	37.0	37.0	37.0	37.0	37.0
7	36.08340358221961	37.0	37.0	37.0	37.0	37.0
8	36.46714720062135	37.0	37.0	37.0	37.0	37.0
9	36.51415838676984	37.0	37.0	37.0	37.0	37.0
10-14	36.49596758763746	37.0	37.0	37.0	37.0	37.0
15-19	36.553063356602294	37.0	37.0	37.0	37.0	37.0
20-24	36.37651240326966	37.0	37.0	37.0	37.0	37.0
25-29	36.13205707682544	37.0	37.0	37.0	37.0	37.0
30-34	36.42919935213162	37.0	37.0	37.0	37.0	37.0
35-39	36.42041164268733	37.0	37.0	37.0	37.0	37.0
40-44	36.35022694336835	37.0	37.0	37.0	37.0	37.0
45-49	36.37407749793989	37.0	37.0	37.0	37.0	37.0
50-54	36.37521515102721	37.0	37.0	37.0	37.0	37.0
55-59	36.26872064938386	37.0	37.0	37.0	37.0	37.0
60-64	36.155175937941024	37.0	37.0	37.0	37.0	37.0
65-69	36.17595034903435	37.0	37.0	37.0	37.0	37.0
70-74	35.9923184026824	37.0	37.0	37.0	37.0	37.0
75-79	35.712425244134614	37.0	37.0	37.0	34.6	37.0
80-84	36.222843232901106	37.0	37.0	37.0	37.0	37.0
85-89	36.201127613021775	37.0	37.0	37.0	37.0	37.0
90-94	36.130993587618505	37.0	37.0	37.0	37.0	37.0
95-99	36.12286823834737	37.0	37.0	37.0	37.0	37.0
100-104	36.05897004082328	37.0	37.0	37.0	37.0	37.0
105-109	35.79176714625344	37.0	37.0	37.0	34.6	37.0
110-114	36.02805118539076	37.0	37.0	37.0	37.0	37.0
115-119	35.96307159703345	37.0	37.0	37.0	37.0	37.0
120-124	35.980743438438296	37.0	37.0	37.0	37.0	37.0
125-129	36.02097597014502	37.0	37.0	37.0	37.0	37.0
130-134	35.667528344241646	37.0	37.0	37.0	34.6	37.0
135-139	35.79208482908209	37.0	37.0	37.0	34.6	37.0
140-144	35.71293378292621	37.0	37.0	37.0	34.6	37.0
145-149	35.31207137918297	37.0	37.0	37.0	29.8	37.0
150	35.206002254278864	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.01139505483008918
1101	2	0.016768679680531307
1101	3	-0.02442662813948715
1101	4	0.08511247496257823
1101	5	0.2053436137529019
1101	6	0.048507547351618996
1101	7	0.04684373339274828
1101	8	0.14181114420972563
1101	9	-0.00968755711083702
1101	10-14	0.04199175643023523
1101	15-19	0.035099615018729935
1101	20-24	0.0681681214811718
1101	25-29	0.052100275877585034
1101	30-34	0.0427779431126325
1101	35-39	0.056974273786430274
1101	40-44	0.1289961300604503
1101	45-49	0.09964801010801239
1101	50-54	0.08991671901740972
1101	55-59	0.05725038870681942
1101	60-64	0.09316420867803998
1101	65-69	0.10067826427848559
1101	70-74	-0.0015504724471782083
1101	75-79	0.048510322198588085
1101	80-84	0.11375173983105924
1101	85-89	0.07979983973807947
1101	90-94	0.14289981669254104
1101	95-99	0.07311506630087194
1101	100-104	0.14543771062727018
1101	105-109	0.10837693609981613
1101	110-114	0.1230067186625945
1101	115-119	0.0891529929397663
1101	120-124	0.011454094773604595
1101	125-129	0.08279025291749775
1101	130-134	0.048807103627929393
1101	135-139	0.006720449820882379
1101	140-144	0.16247776018008864
1101	145-149	0.1419249212215803
1101	150	0.37505300089650717
1102	1	-0.2935838849371919
1102	2	-0.016779928849317116
1102	3	-0.19959355394546918
1102	4	-0.09946800144377477
1102	5	0.1916466908258485
1102	6	-0.02726453268714124
1102	7	0.045871756900865535
1102	8	-0.1222003830904228
1102	9	-0.09453105492733727
1102	10-14	0.024368033963440894
1102	15-19	-0.03311005979363557
1102	20-24	0.03522337919734042
1102	25-29	0.04180929789834664
1102	30-34	-0.050956944584896746
1102	35-39	0.036609497793634205
1102	40-44	-0.032388901973227746
1102	45-49	0.06142644046574475
1102	50-54	-0.05174252358469289
1102	55-59	-0.0197044259963306
1102	60-64	-0.05207629019734128
1102	65-69	0.0164625783774639
1102	70-74	0.036550498096204365
1102	75-79	0.08817066376178673
1102	80-84	-0.10413640087659815
1102	85-89	-0.07101470304748148
1102	90-94	-0.014118903922991421
1102	95-99	-0.03746197172503685
1102	100-104	0.010297350001863492
1102	105-109	-0.029565430664753478
1102	110-114	-0.06106487598655974
1102	115-119	0.06404167732296173
1102	120-124	-0.11890271928410101
1102	125-129	0.06661651329871887
1102	130-134	-0.011058376131721559
1102	135-139	-0.0680380753363039
1102	140-144	0.07693896719784021
1102	145-149	-0.0031615271803033806
1102	150	0.3029681911403159
1103	1	-0.26455977796501884
1103	2	-0.18915433790159852
1103	3	-0.044515593557768796
1103	4	-0.04846109453735181
1103	5	0.17136558471415242
1103	6	0.04782417974962527
1103	7	0.09563960795286164
1103	8	-0.09248767377217604
1103	9	-0.07205670215196847
1103	10-14	0.05404765181592097
1103	15-19	-0.04490325848004062
1103	20-24	0.05776948369462076
1103	25-29	0.0634922398902944
1103	30-34	-0.02077859871911869
1103	35-39	0.05685590605771296
