##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	RACE-m89-2-minG-withNEP_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1591876
Total Bases	238.7 Mbp
Sequences flagged as poor quality	0
Sequence length	150
%GC	42
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.53977257022532	37.0	37.0	37.0	37.0	37.0
2	36.32956335794999	37.0	37.0	37.0	37.0	37.0
3	36.45798039545794	37.0	37.0	37.0	37.0	37.0
4	36.45827313182685	37.0	37.0	37.0	37.0	37.0
5	36.46315667803271	37.0	37.0	37.0	37.0	37.0
6	36.521453932341466	37.0	37.0	37.0	37.0	37.0
7	36.37357558000749	37.0	37.0	37.0	37.0	37.0
8	36.73800094982273	37.0	37.0	37.0	37.0	37.0
9	36.645054011744634	37.0	37.0	37.0	37.0	37.0
10-14	36.56797288230993	37.0	37.0	37.0	37.0	37.0
15-19	36.448391457626094	37.0	37.0	37.0	37.0	37.0
20-24	36.58498199608512	37.0	37.0	37.0	37.0	37.0
25-29	36.49202086092133	37.0	37.0	37.0	37.0	37.0
30-34	36.5349767192922	37.0	37.0	37.0	37.0	37.0
35-39	36.478041882659205	37.0	37.0	37.0	37.0	37.0
40-44	36.271259193555274	37.0	37.0	37.0	37.0	37.0
45-49	36.19379436589282	37.0	37.0	37.0	37.0	37.0
50-54	36.476643658174375	37.0	37.0	37.0	37.0	37.0
55-59	36.50734253170473	37.0	37.0	37.0	37.0	37.0
60-64	36.320481117876014	37.0	37.0	37.0	37.0	37.0
65-69	36.28243003852059	37.0	37.0	37.0	37.0	37.0
70-74	36.154080091665435	37.0	37.0	37.0	34.6	37.0
75-79	36.34608549912179	37.0	37.0	37.0	37.0	37.0
80-84	36.37986765300815	37.0	37.0	37.0	37.0	37.0
85-89	36.21888300345002	37.0	37.0	37.0	37.0	37.0
90-94	35.917525485653414	37.0	37.0	37.0	37.0	37.0
95-99	36.315229075631514	37.0	37.0	37.0	37.0	37.0
100-104	36.38283597466134	37.0	37.0	37.0	37.0	37.0
105-109	36.23417351602763	37.0	37.0	37.0	37.0	37.0
110-114	36.32015634383582	37.0	37.0	37.0	37.0	37.0
115-119	36.176273905756474	37.0	37.0	37.0	37.0	37.0
120-124	35.69228042887762	37.0	37.0	37.0	32.2	37.0
125-129	36.09492058426661	37.0	37.0	37.0	37.0	37.0
130-134	36.1657443167684	37.0	37.0	37.0	37.0	37.0
135-139	36.16621973068254	37.0	37.0	37.0	37.0	37.0
140-144	35.63209232377396	37.0	37.0	37.0	32.2	37.0
145-149	35.4793823136978	37.0	37.0	37.0	32.2	37.0
150	36.36660267508273	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	0.0048854923520025295
1101	2	0.02922387742012944
1101	3	-0.037604610199934996
1101	4	0.07651593152139924
1101	5	-0.009510579036501099
1101	6	-0.0439391836729115
1101	7	-0.10439212865054515
1101	8	-0.0031258971283492087
1101	9	-0.0715573773901923
1101	10-14	-0.02520190209742168
1101	15-19	0.03925702016830712
1101	20-24	-0.00884104504914518
1101	25-29	0.012556359998804112
1101	30-34	-0.01816842556682019
1101	35-39	0.03778094724820136
1101	40-44	0.008477799963330312
1101	45-49	0.07277936822534059
1101	50-54	-0.009632890217822876
1101	55-59	-0.09797273616275248
1101	60-64	-0.026122483089622506
1101	65-69	-0.0459898426400116
1101	70-74	-9.851138811001192E-4
1101	75-79	-0.05479676528997146
1101	80-84	-0.023366548870136228
1101	85-89	-0.057029742922026117
1101	90-94	-0.23188634610316683
1101	95-99	-0.017734016164915545
1101	100-104	-0.042954683529004
1101	105-109	-0.10559703885240879
1101	110-114	-0.07491867536026575
1101	115-119	0.0092869094046506
1101	120-124	-0.16432988147599303
1101	125-129	-0.2169288564587717
1101	130-134	-0.09398790708026183
1101	135-139	-0.020983678606434353
1101	140-144	0.0018337265893109134
1101	145-149	-0.18795079733158815
1101	150	0.1055102453676966
1102	1	0.06725153344144985
1102	2	0.08249014224039541
1102	3	0.16169183875986448
1102	4	0.1354356842197646
1102	5	0.12421043968317491
1102	6	0.08172130530564914
1102	7	0.04323778709141379
1102	8	0.04993093023497153
1102	9	0.06783929715326309
1102	10-14	0.06223747518844647
1102	15-19	0.013098050190336608
1102	20-24	0.08271773210079658
1102	25-29	0.04067087365061184
1102	30-34	0.02465991314085869
1102	35-39	0.1650298522509459
1102	40-44	0.09514785027464967
1102	45-49	0.09826853537892788
1102	50-54	0.036676676210248615
1102	55-59	0.032436722337202184
1102	60-64	-0.05056055875312637
1102	65-69	0.00987854196524296
1102	70-74	0.14210745350449372
1102	75-79	0.07579863926179797
1102	80-84	0.10833963519263534
1102	85-89	-0.08805957303616196
1102	90-94	0.05385556210036668
1102	95-99	0.06478129791516807
1102	100-104	-0.04671542588386757
1102	105-109	0.1343498639547107
1102	110-114	0.0665170531479049
1102	115-119	0.017573221326834698
1102	120-124	0.02766054197147838
1102	125-129	-0.08862713946866307
1102	130-134	0.027764406161416844
1102	135-139	0.12096740500907543
1102	140-144	0.052990463229491525
1102	145-149	-0.0024953519246224687
1102	150	0.20126385956999826
1103	1	-0.015277224308768211
1103	2	-0.01945199480398685
1103	3	0.024189725100782766
1103	4	0.05102868665770899
1103	5	0.1422359161075235
1103	6	0.034959654768854875
1103	7	0.02592128546329775
1103	8	0.07147954471346196
1103	9	0.00462930348545143
1103	10-14	0.06544940591093251
1103	15-19	0.1232384674753817
1103	20-24	0.037219833932979896
1103	25-29	0.021872365374505875
1103	30-34	0.06075727858667079
1103	35-39	0.15297638570621075
