##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	subAmp-m89-2-minG-noNEP_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	6225018
Total Bases	933.7 Mbp
Sequences flagged as poor quality	0
Sequence length	150
%GC	43
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.063358531654046	37.0	37.0	37.0	37.0	37.0
2	36.38453286400136	37.0	37.0	37.0	37.0	37.0
3	36.5090089699339	37.0	37.0	37.0	37.0	37.0
4	36.52740056333974	37.0	37.0	37.0	37.0	37.0
5	36.53461998021532	37.0	37.0	37.0	37.0	37.0
6	36.546549102347974	37.0	37.0	37.0	37.0	37.0
7	36.72357638162653	37.0	37.0	37.0	37.0	37.0
8	36.40677344226153	37.0	37.0	37.0	37.0	37.0
9	36.59374446788748	37.0	37.0	37.0	37.0	37.0
10-14	36.430221278075024	37.0	37.0	37.0	37.0	37.0
15-19	36.56753313805679	37.0	37.0	37.0	37.0	37.0
20-24	36.35952024556395	37.0	37.0	37.0	37.0	37.0
25-29	36.39368300621781	37.0	37.0	37.0	37.0	37.0
30-34	36.465027346105664	37.0	37.0	37.0	37.0	37.0
35-39	36.38090219176876	37.0	37.0	37.0	37.0	37.0
40-44	36.162753392841594	37.0	37.0	37.0	37.0	37.0
45-49	36.399524113825855	37.0	37.0	37.0	37.0	37.0
50-54	36.30830015270639	37.0	37.0	37.0	37.0	37.0
55-59	36.218100156497535	37.0	37.0	37.0	37.0	37.0
60-64	36.26421629624203	37.0	37.0	37.0	37.0	37.0
65-69	36.00165294301157	37.0	37.0	37.0	34.6	37.0
70-74	36.34205362940316	37.0	37.0	37.0	37.0	37.0
75-79	36.11605955195632	37.0	37.0	37.0	37.0	37.0
80-84	36.24312398775393	37.0	37.0	37.0	37.0	37.0
85-89	36.23923121186156	37.0	37.0	37.0	37.0	37.0
90-94	36.3252059351475	37.0	37.0	37.0	37.0	37.0
95-99	36.15209067668559	37.0	37.0	37.0	37.0	37.0
100-104	36.0158254964082	37.0	37.0	37.0	37.0	37.0
105-109	35.546641053889324	37.0	37.0	37.0	32.2	37.0
110-114	36.20712981070899	37.0	37.0	37.0	37.0	37.0
115-119	35.65997322417381	37.0	37.0	37.0	37.0	37.0
120-124	36.0184835770756	37.0	37.0	37.0	37.0	37.0
125-129	36.13643427215793	37.0	37.0	37.0	37.0	37.0
130-134	35.81864164890768	37.0	37.0	37.0	37.0	37.0
135-139	35.81316307840395	37.0	37.0	37.0	37.0	37.0
140-144	35.729570838188735	37.0	37.0	37.0	34.6	37.0
145-149	35.72777273897039	37.0	37.0	37.0	34.6	37.0
150	36.01450501829874	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.01795128814261915
1101	2	-0.040872101436789876
1101	3	0.03089204728837558
1101	4	0.05875375846608932
1101	5	0.006126512048837185
1101	6	0.009529812982698616
1101	7	-0.03232294829106763
1101	8	0.05625275103811589
1101	9	-0.021745567128100163
1101	10-14	0.03498623958640934
1101	15-19	0.009018639095245362
1101	20-24	0.061347366294860706
1101	25-29	0.053444265564806415
1101	30-34	0.06512485177815108
1101	35-39	0.01985654207755516
1101	40-44	0.07283792834638092
1101	45-49	0.06634033142661622
1101	50-54	1.359282485680069E-5
1101	55-59	-0.07644465762209762
1101	60-64	0.007886143558657466
1101	65-69	0.08882501545152621
1101	70-74	-0.008170769020992452
1101	75-79	0.025664186743249218
1101	80-84	-0.014117139580335447
1101	85-89	-6.40196361182177E-4
1101	90-94	0.0711429074752985
1101	95-99	0.07340649755915507
1101	100-104	0.04690085552294221
1101	105-109	0.074745962165359
1101	110-114	0.032983706119445344
1101	115-119	0.01462181310599675
1101	120-124	0.023066794222152964
1101	125-129	-0.08286266376586582
1101	130-134	0.06579763211321676
1101	135-139	-0.02110306283286434
1101	140-144	0.07624863651545866
1101	145-149	0.14366134689795018
1101	150	0.20998744210171338
1102	1	-0.1424852670521446
1102	2	-0.0012161309269629328
1102	3	-0.12305760182317016
1102	4	0.05929301506235163
1102	5	-0.006777465813257777
1102	6	0.015235255892797284
1102	7	0.017880286572754756
1102	8	-0.035196011138232564
1102	9	0.0026934674809524495
1102	10-14	-0.006804828891752379
1102	15-19	0.010917187224571023
1102	20-24	0.054915008196047665
1102	25-29	0.09379387007617623
1102	30-34	0.09001928114938806
1102	35-39	6.184616418209998E-4
1102	40-44	0.1245727397924199
1102	45-49	0.08450699415135432
1102	50-54	0.024686845900411925
1102	55-59	0.009118233685256882
1102	60-64	0.06966748109071119
1102	65-69	0.10825464010056152
1102	70-74	0.027698782240491937
1102	75-79	0.08808644898547868
1102	80-84	0.10304946570478535
1102	85-89	0.055123125405380335
1102	90-94	0.1030554438396507
1102	95-99	0.11992200794389873
1102	100-104	0.055505410822078716
1102	105-109	0.09841486672437583
1102	110-114	0.12172706255250887
1102	115-119	0.08013452922254061
1102	120-124	0.01743139385116166
1102	125-129	0.04056810291781687
1102	130-134	0.1817578028102247
1102	135-139	0.010092863684967313
1102	140-144	0.13750193506966468
1102	145-149	0.20570077412364896
1102	150	0.2480905157967399
1103	1	0.003936407959393762
1103	2	-0.21648125849236521
1103	3	0.15444884907311973
1103	4	-0.15524585265582402
1103	5	-0.1238385912596982
1103	6	0.002364222553197237
1103	7	0.0027211075027082643
1103	8	0.02387967368208166
1103	9	-0.20823717043151646
1103	10-14	-0.06363303853306235
1103	15-19	-0.05199878878322295
1103	20-24	0.02612401723584412
1103	25-29	-0.07522935315046198
1103	30-34	-0.024219683973051076
1103	35-39	-0.12430506746838432
1103	40-44	-0.16269652318201366
1103	45-49	-0.029657294370316833
1103	50-54	-0.06937576624265773
1103	55-59	-0.2115241217890329
1103	60-64	-0.137438416139247
1103	65-69	-0.16168042372486013
1103	70-74	-0.07563722828600561
1103	75-79	-0.16268441176060122
1103	80-84	-0.1859568399395357
1103	85-89	-0.15062065012050851
1103	90-94	-0.11381856289320069
1103	95-99	-0.13590242514620599
