##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	subAmp-m89-2-minG-withNEP_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	4923637
Total Bases	738.5 Mbp
Sequences flagged as poor quality	0
Sequence length	150
%GC	43
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.20580477399126	37.0	37.0	37.0	37.0	37.0
2	36.63427523190682	37.0	37.0	37.0	37.0	37.0
3	36.32963213981859	37.0	37.0	37.0	37.0	37.0
4	36.60651688985195	37.0	37.0	37.0	37.0	37.0
5	36.69883421543871	37.0	37.0	37.0	37.0	37.0
6	36.782632228980326	37.0	37.0	37.0	37.0	37.0
7	36.853111429620014	37.0	37.0	37.0	37.0	37.0
8	36.64725994219314	37.0	37.0	37.0	37.0	37.0
9	36.776031823629566	37.0	37.0	37.0	37.0	37.0
10-14	36.61871535208627	37.0	37.0	37.0	37.0	37.0
15-19	36.73657160347118	37.0	37.0	37.0	37.0	37.0
20-24	36.56306953579234	37.0	37.0	37.0	37.0	37.0
25-29	36.6599874848613	37.0	37.0	37.0	37.0	37.0
30-34	36.661666487598495	37.0	37.0	37.0	37.0	37.0
35-39	36.59440234932023	37.0	37.0	37.0	37.0	37.0
40-44	36.30682530007797	37.0	37.0	37.0	37.0	37.0
45-49	36.58634789689005	37.0	37.0	37.0	37.0	37.0
50-54	36.51937334129222	37.0	37.0	37.0	37.0	37.0
55-59	36.46438984027458	37.0	37.0	37.0	37.0	37.0
60-64	36.502773173570674	37.0	37.0	37.0	37.0	37.0
65-69	36.39149864216229	37.0	37.0	37.0	37.0	37.0
70-74	36.63047937936936	37.0	37.0	37.0	37.0	37.0
75-79	36.47527268968041	37.0	37.0	37.0	37.0	37.0
80-84	36.4899050437715	37.0	37.0	37.0	37.0	37.0
85-89	36.52822041917388	37.0	37.0	37.0	37.0	37.0
90-94	36.53423085414298	37.0	37.0	37.0	37.0	37.0
95-99	36.427753102025996	37.0	37.0	37.0	37.0	37.0
100-104	36.33941454254243	37.0	37.0	37.0	37.0	37.0
105-109	35.89873952933574	37.0	37.0	37.0	37.0	37.0
110-114	36.464542654139606	37.0	37.0	37.0	37.0	37.0
115-119	36.080406699356594	37.0	37.0	37.0	37.0	37.0
120-124	36.36492856804838	37.0	37.0	37.0	37.0	37.0
125-129	36.40713236983149	37.0	37.0	37.0	37.0	37.0
130-134	36.16103307372172	37.0	37.0	37.0	37.0	37.0
135-139	36.127460533747715	37.0	37.0	37.0	37.0	37.0
140-144	36.01846907072962	37.0	37.0	37.0	34.6	37.0
145-149	35.99811952018396	37.0	37.0	37.0	34.6	37.0
150	36.302707734140434	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.01817888834064263
1101	2	0.004863184887284433
1101	3	-0.05322853491145452
1101	4	0.044427514095431775
1101	5	0.015888404078992835
1101	6	0.004107339087106254
1101	7	0.008615970747037238
1101	8	0.04228874744824651
1101	9	0.05957985139430377
1101	10-14	0.06641130375565751
1101	15-19	0.027186199155451618
1101	20-24	0.09593488933200689
1101	25-29	0.03750762883418446
1101	30-34	0.08690578840035812
1101	35-39	0.0018964271300987434
1101	40-44	0.0973770410380368
1101	45-49	0.058019827620981346
1101	50-54	0.03295078080751068
1101	55-59	0.005979248977261875
1101	60-64	0.03591469555836113
1101	65-69	0.0745372379585163
1101	70-74	0.022367312761382152
1101	75-79	0.09142886756951896
1101	80-84	0.034005242248248635
1101	85-89	0.01947357108367953
1101	90-94	0.09505377056230913
1101	95-99	0.08873996278322949
1101	100-104	0.04072162055624062
1101	105-109	0.05185243192827471
1101	110-114	0.060268779502145264
1101	115-119	0.1171989919237788
1101	120-124	0.060892594724641924
1101	125-129	0.0023586544677343113
1101	130-134	0.1211407171813832
1101	135-139	0.014039256954518464
1101	140-144	0.14024232858746188
1101	145-149	0.17593891559842234
1101	150	0.23080188382569844
1102	1	-0.20943948900102072
1102	2	0.032151954905209834
1102	3	-0.1074769741759809
1102	4	-0.13092003626458393
1102	5	0.059787819232575146
1102	6	-0.01379754746573525
1102	7	0.005318789426283388
1102	8	-0.015923306156395256
1102	9	0.011355270115274152
1102	10-14	0.0185143985692946
1102	15-19	0.01659472639546067
1102	20-24	0.08764813507609404
1102	25-29	0.01547937397373289
1102	30-34	0.046704965695923306
1102	35-39	-0.004776387816484373
1102	40-44	0.0685814992058269
1102	45-49	0.035644837633313387
1102	50-54	-0.011181458499244457
1102	55-59	-0.02600982088803505
1102	60-64	0.0062411717549863965
1102	65-69	0.01618366627328527
1102	70-74	-0.05382383732472107
1102	75-79	0.02464531393338376
1102	80-84	0.023701095515200166
1102	85-89	-0.003128924256834864
1102	90-94	0.051717831649988
1102	95-99	-0.028063963757816168
1102	100-104	0.0399094903988626
1102	105-109	0.03330697818870476
1102	110-114	0.018524776528686004
1102	115-119	0.01900282506920803
1102	120-124	0.03668869724705104
1102	125-129	-0.04369857898992535
1102	130-134	0.06557407023860407
1102	135-139	-0.03198619033917538
1102	140-144	0.048566061169573516
1102	145-149	0.12794024086618094
1102	150	0.21638350255825856
1103	1	0.33819840583663563
1103	2	0.17267293335589073
1103	3	-0.03957963757655847
1103	4	-0.014775779582144821
1103	5	0.169475211212891
1103	6	0.1509871763256072
1103	7	0.10127468223185332
1103	8	0.06888233697875279
1103	9	0.047481540351896
1103	10-14	0.16155976421637064
1103	15-19	0.11334459658479545
1103	20-24	0.16627583809324165
1103	25-29	0.14141172877658192
1103	30-34	0.1496550720134735
1103	35-39	0.15473884604471522
1103	40-44	0.2433522917317248
1103	45-49	0.2561604590560336
