##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	subAmp-m89-3-minG-noNEP_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	11556467
Total Bases	1.7 Gbp
Sequences flagged as poor quality	0
Sequence length	150
%GC	44
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.48863168994469	37.0	37.0	37.0	37.0	37.0
2	36.253183693597705	37.0	37.0	37.0	37.0	37.0
3	36.52232641688848	37.0	37.0	37.0	37.0	37.0
4	36.454400034197306	37.0	37.0	37.0	37.0	37.0
5	36.43512251624999	37.0	37.0	37.0	37.0	37.0
6	36.51458469097865	37.0	37.0	37.0	37.0	37.0
7	36.528788166833344	37.0	37.0	37.0	37.0	37.0
8	36.528602469941724	37.0	37.0	37.0	37.0	37.0
9	36.575975079580985	37.0	37.0	37.0	37.0	37.0
10-14	36.5132867683523	37.0	37.0	37.0	37.0	37.0
15-19	36.5456217371624	37.0	37.0	37.0	37.0	37.0
20-24	36.49974001569856	37.0	37.0	37.0	37.0	37.0
25-29	36.50301252104125	37.0	37.0	37.0	37.0	37.0
30-34	36.40658469409379	37.0	37.0	37.0	37.0	37.0
35-39	36.458695983815815	37.0	37.0	37.0	37.0	37.0
40-44	36.59387536000405	37.0	37.0	37.0	37.0	37.0
45-49	36.45832202869614	37.0	37.0	37.0	37.0	37.0
50-54	36.46828064321042	37.0	37.0	37.0	37.0	37.0
55-59	36.591522080234384	37.0	37.0	37.0	37.0	37.0
60-64	36.30213574788904	37.0	37.0	37.0	37.0	37.0
65-69	36.384103203859794	37.0	37.0	37.0	37.0	37.0
70-74	36.352282907916404	37.0	37.0	37.0	37.0	37.0
75-79	36.41252490056	37.0	37.0	37.0	37.0	37.0
80-84	36.3277498045034	37.0	37.0	37.0	37.0	37.0
85-89	36.42299130002275	37.0	37.0	37.0	37.0	37.0
90-94	36.23175120908492	37.0	37.0	37.0	37.0	37.0
95-99	36.37130469026564	37.0	37.0	37.0	37.0	37.0
100-104	36.49734909466708	37.0	37.0	37.0	37.0	37.0
105-109	36.20922309560525	37.0	37.0	37.0	37.0	37.0
110-114	36.14261176880443	37.0	37.0	37.0	37.0	37.0
115-119	36.15315076831007	37.0	37.0	37.0	37.0	37.0
120-124	36.133404352731674	37.0	37.0	37.0	37.0	37.0
125-129	36.328758192274506	37.0	37.0	37.0	37.0	37.0
130-134	35.875586128528724	37.0	37.0	37.0	32.2	37.0
135-139	35.89500166443603	37.0	37.0	37.0	37.0	37.0
140-144	35.71650043218226	37.0	37.0	37.0	34.6	37.0
145-149	35.88830863273351	37.0	37.0	37.0	37.0	37.0
150	36.00198494920636	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	0.07088413629590207
1101	2	-0.02726308921069176
1101	3	0.052131919163429075
1101	4	0.002999794023139657
1101	5	-0.002828228023851409
1101	6	0.08294766615244242
1101	7	-0.0379420281903009
1101	8	0.038450324627774535
1101	9	0.006587466770611172
1101	10-14	0.03714271269230096
1101	15-19	0.03284641812532385
1101	20-24	0.008766119002160622
1101	25-29	0.003812043840646595
1101	30-34	0.06443338293502876
1101	35-39	0.06597037272884165
1101	40-44	0.07631553559839688
1101	45-49	0.06131283136112842
1101	50-54	0.08012179174293976
1101	55-59	0.020227536315957195
1101	60-64	0.05533406585458067
1101	65-69	-0.004942315715261714
1101	70-74	0.05846688990039439
1101	75-79	4.551775349170839E-5
1101	80-84	-0.004944402044230856
1101	85-89	0.0155951346305514
1101	90-94	-0.03234613721445356
1101	95-99	0.08658976708055377
1101	100-104	-0.007363400479270865
1101	105-109	-0.009168031677631916
1101	110-114	0.04248973175658932
1101	115-119	0.04877738541223664
1101	120-124	-0.05138840649981802
1101	125-129	0.037067928435234876
1101	130-134	-0.02946633882041283
1101	135-139	0.05264915116266167
1101	140-144	0.11836361631167591
1101	145-149	-0.0012836446802140244
1101	150	0.048969103894336286
1102	1	0.011010672677947753
1102	2	-0.12724250411330473
1102	3	0.08198635592448511
1102	4	0.06807424421437958
1102	5	-0.07456517647511163
1102	6	0.2183799237255073
1102	7	0.03084801696542172
1102	8	0.12826014220783577
1102	9	0.0680025456113782
1102	10-14	0.045749338887034696
1102	15-19	0.03449812281169784
1102	20-24	-0.0047393069544341415
1102	25-29	0.03577586364275476
1102	30-34	-0.0017886637647279713
1102	35-39	0.008906366829592116
1102	40-44	0.06684063241409888
1102	45-49	0.0783522137356556
1102	50-54	0.15713615763201005
1102	55-59	0.0635802652847346
1102	60-64	-0.03018794546360226
1102	65-69	-0.011573875873700956
1102	70-74	0.04884080262713297
1102	75-79	0.03974888075687488
1102	80-84	-0.0032574064603494435
1102	85-89	-0.023376097166867282
1102	90-94	0.018980188419718047
1102	95-99	0.0333926762596235
1102	100-104	0.015733335724824826
1102	105-109	0.056072504883061924
1102	110-114	0.03480825606204263
1102	115-119	0.007816789853031025
1102	120-124	-0.016629033743761568
1102	125-129	-0.010993225929261996
1102	130-134	0.10845697247236075
1102	135-139	0.03321093993205437
1102	140-144	0.06877685231771125
1102	145-149	-0.03272845402397451
1102	150	-0.06486391529711
1103	1	0.21782997954065308
1103	2	-0.07050874225129888
1103	3	0.03223536115484649
1103	4	0.1509775127475521
1103	5	0.1051653888177313
1103	6	0.04463354100028738
1103	7	0.07498349973769791
1103	8	0.12176445974306915
1103	9	0.14160481720806217
1103	10-14	0.08259808446100436
1103	15-19	0.086760716360331
1103	20-24	0.05793713151695101
1103	25-29	0.07200665874431422
1103	30-34	0.07633263007365088
1103	35-39	0.0529515131045315
1103	40-44	0.07332728122914034
