##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	subAmp-m89-3-minG-withNEP_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	9550174
Total Bases	1.4 Gbp
Sequences flagged as poor quality	0
Sequence length	150
%GC	45
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.45689335084366	37.0	37.0	37.0	37.0	37.0
2	36.259835475248934	37.0	37.0	37.0	37.0	37.0
3	36.50609936530999	37.0	37.0	37.0	37.0	37.0
4	36.47883106632403	37.0	37.0	37.0	37.0	37.0
5	36.51761465288486	37.0	37.0	37.0	37.0	37.0
6	36.5106193876677	37.0	37.0	37.0	37.0	37.0
7	36.5425239372602	37.0	37.0	37.0	37.0	37.0
8	36.50866989439145	37.0	37.0	37.0	37.0	37.0
9	36.580025243519124	37.0	37.0	37.0	37.0	37.0
10-14	36.51950856602194	37.0	37.0	37.0	37.0	37.0
15-19	36.55360279299624	37.0	37.0	37.0	37.0	37.0
20-24	36.43474964958754	37.0	37.0	37.0	37.0	37.0
25-29	36.47789619330496	37.0	37.0	37.0	37.0	37.0
30-34	36.416996946861914	37.0	37.0	37.0	37.0	37.0
35-39	36.476123366966924	37.0	37.0	37.0	37.0	37.0
40-44	36.595645733784536	37.0	37.0	37.0	37.0	37.0
45-49	36.43861460534646	37.0	37.0	37.0	37.0	37.0
50-54	36.44838131745034	37.0	37.0	37.0	37.0	37.0
55-59	36.57186993661058	37.0	37.0	37.0	37.0	37.0
60-64	36.22040605752314	37.0	37.0	37.0	37.0	37.0
65-69	36.36684349416042	37.0	37.0	37.0	37.0	37.0
70-74	36.33483888356379	37.0	37.0	37.0	37.0	37.0
75-79	36.3978350760939	37.0	37.0	37.0	37.0	37.0
80-84	36.30185965198121	37.0	37.0	37.0	37.0	37.0
85-89	36.44185467196723	37.0	37.0	37.0	37.0	37.0
90-94	36.189573718761565	37.0	37.0	37.0	37.0	37.0
95-99	36.32132562192061	37.0	37.0	37.0	37.0	37.0
100-104	36.482578600138595	37.0	37.0	37.0	37.0	37.0
105-109	36.21627088679222	37.0	37.0	37.0	37.0	37.0
110-114	36.20190350458536	37.0	37.0	37.0	37.0	37.0
115-119	36.105118084759496	37.0	37.0	37.0	37.0	37.0
120-124	36.09517395180444	37.0	37.0	37.0	37.0	37.0
125-129	36.32745499715503	37.0	37.0	37.0	37.0	37.0
130-134	35.92343027467352	37.0	37.0	37.0	34.6	37.0
135-139	36.03111384148603	37.0	37.0	37.0	37.0	37.0
140-144	35.79471356228693	37.0	37.0	37.0	34.6	37.0
145-149	35.921660799059794	37.0	37.0	37.0	37.0	37.0
150	35.816553290023826	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	0.05072021753554168
1101	2	0.004060127179855044
1101	3	0.020014727296143064
1101	4	0.030710063836480117
1101	5	0.009355971134255014
1101	6	0.03824230151451502
1101	7	-0.017461427995421275
1101	8	-0.0022240107226281225
1101	9	0.02375903004602975
1101	10-14	0.027065079120639268
1101	15-19	0.02532408480870174
1101	20-24	0.028094669115674265
1101	25-29	0.0021523959035221196
1101	30-34	0.06256836905682661
1101	35-39	0.05506462098917808
1101	40-44	0.05286822173862049
1101	45-49	0.07147940151882182
1101	50-54	0.06847403073542324
1101	55-59	0.04002483934234391
1101	60-64	0.06638907923498039
1101	65-69	-0.01581771100428142
1101	70-74	0.05805808874274021
1101	75-79	0.01669249459693134
1101	80-84	0.022562151824793375
1101	85-89	0.018030691880312588
1101	90-94	-0.04259824287908742
1101	95-99	0.06865647590772284
1101	100-104	0.0036780683312827023
1101	105-109	-0.01416071494254112
1101	110-114	0.029332482427577133
1101	115-119	0.029493348553423004
1101	120-124	-0.11566964171608163
1101	125-129	0.024258929601757018
1101	130-134	-0.06657714040646567
1101	135-139	0.06395665715469079
1101	140-144	0.09896306355222606
1101	145-149	-0.009737091154214284
1101	150	0.0500945552252503
1102	1	-0.05846945574302964
1102	2	0.018573273942145363
1102	3	0.08873604121845347
1102	4	0.047613098325648195
1102	5	-0.04193380289542148
1102	6	-0.015249451440432438
1102	7	-0.021799513054325814
1102	8	0.1208078968391888
1102	9	-0.0699920408627932
1102	10-14	0.04581944366905333
1102	15-19	0.04658473773372407
1102	20-24	0.042305829108883586
1102	25-29	0.06734011051364774
1102	30-34	0.04050330653859646
1102	35-39	0.0503495760243311
1102	40-44	-0.010364936720861806
1102	45-49	0.006912242875046104
1102	50-54	0.09879902728947343
1102	55-59	-0.08773403120962797
1102	60-64	-0.03009182869769944
1102	65-69	-0.10441771999038707
1102	70-74	0.03572412815827164
1102	75-79	-0.053443675505668864
1102	80-84	0.11083915567130731
1102	85-89	0.001492642156641466
1102	90-94	0.09950201017903737
1102	95-99	-0.04210805208897028
1102	100-104	0.03835164009112191
1102	105-109	0.0191115178861736
1102	110-114	0.17718367769509769
1102	115-119	0.07675951346995191
1102	120-124	-0.17392251251326485
1102	125-129	-0.01049212836096558
1102	130-134	-0.09256096768419297
1102	135-139	-0.04607270383353779
1102	140-144	0.10659098051748828
1102	145-149	-0.0426063576511595
1102	150	0.0423392715038986
1103	1	0.07826767026838866
1103	2	-0.11075173210618772
1103	3	0.03534583862170848
1103	4	0.07643542070627518
1103	5	-0.019378449448765878
1103	6	0.11154331923366811
1103	7	-0.0806824979738181
1103	8	0.05169023660317151
1103	9	0.03585288884213611
1103	10-14	-0.00787935831301212
1103	15-19	0.05780936833738792
1103	20-24	0.058486687703336315
1103	25-29	-0.006406540502020164
1103	30-34	0.02471240860758428
1103	35-39	-0.04308076958189133
1103	40-44	0.03307087478620474
