##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	subAmp-m89-3-minG-withNEP_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	9550174
Total Bases	1.4 Gbp
Sequences flagged as poor quality	0
Sequence length	150
%GC	44
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.33053198821299	37.0	37.0	37.0	37.0	37.0
2	36.55144084285794	37.0	37.0	37.0	37.0	37.0
3	36.56505734869333	37.0	37.0	37.0	37.0	37.0
4	36.625420437365854	37.0	37.0	37.0	37.0	37.0
5	36.59664127585529	37.0	37.0	37.0	37.0	37.0
6	36.60448741562195	37.0	37.0	37.0	37.0	37.0
7	36.77231660910053	37.0	37.0	37.0	37.0	37.0
8	36.510093533374366	37.0	37.0	37.0	37.0	37.0
9	36.67997357953897	37.0	37.0	37.0	37.0	37.0
10-14	36.55578283704569	37.0	37.0	37.0	37.0	37.0
15-19	36.6562740741687	37.0	37.0	37.0	37.0	37.0
20-24	36.375666055927354	37.0	37.0	37.0	37.0	37.0
25-29	36.55315783775249	37.0	37.0	37.0	37.0	37.0
30-34	36.55069501351494	37.0	37.0	37.0	37.0	37.0
35-39	36.42316452035324	37.0	37.0	37.0	37.0	37.0
40-44	36.11109454131412	37.0	37.0	37.0	37.0	37.0
45-49	36.43200720740795	37.0	37.0	37.0	37.0	37.0
50-54	36.313703834087214	37.0	37.0	37.0	37.0	37.0
55-59	36.45215119640751	37.0	37.0	37.0	37.0	37.0
60-64	36.45620190794429	37.0	37.0	37.0	37.0	37.0
65-69	36.28030257878024	37.0	37.0	37.0	37.0	37.0
70-74	36.453981780855514	37.0	37.0	37.0	37.0	37.0
75-79	36.26382191570541	37.0	37.0	37.0	37.0	37.0
80-84	36.39562958748186	37.0	37.0	37.0	37.0	37.0
85-89	36.35015403907824	37.0	37.0	37.0	37.0	37.0
90-94	36.43582139969387	37.0	37.0	37.0	37.0	37.0
95-99	36.252115699672075	37.0	37.0	37.0	37.0	37.0
100-104	36.15064569504178	37.0	37.0	37.0	37.0	37.0
105-109	35.617131666920415	37.0	37.0	37.0	34.6	37.0
110-114	36.20653416367073	37.0	37.0	37.0	37.0	37.0
115-119	35.68742318202789	37.0	37.0	37.0	37.0	37.0
120-124	36.05919027234478	37.0	37.0	37.0	37.0	37.0
125-129	36.06357128152848	37.0	37.0	37.0	37.0	37.0
130-134	36.061241627639454	37.0	37.0	37.0	37.0	37.0
135-139	35.933307309374676	37.0	37.0	37.0	37.0	37.0
140-144	35.92031548325717	37.0	37.0	37.0	37.0	37.0
145-149	35.798034297594995	37.0	37.0	37.0	34.6	37.0
150	36.22366021812796	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.06287702023528396
1101	2	0.025236501233024455
1101	3	0.01144177519807954
1101	4	0.018494162641651712
1101	5	0.06972925872074853
1101	6	0.013531128725972508
1101	7	0.012932081742476953
1101	8	0.059183476291984505
1101	9	0.04915354564644048
1101	10-14	0.06550881024544708
1101	15-19	0.011286130112893034
1101	20-24	0.11465160936485574
1101	25-29	0.0480642471408359
1101	30-34	0.03862183760454485
1101	35-39	0.02075784890715937
1101	40-44	0.09842335325766527
1101	45-49	0.07810489831252454
1101	50-54	0.03696591883667111
1101	55-59	-0.03240059710538645
1101	60-64	0.02715143786605978
1101	65-69	0.03821639218242012
1101	70-74	0.016565116789990952
1101	75-79	0.0645719022246638
1101	80-84	-0.004020811479435338
1101	85-89	0.032334488039296616
1101	90-94	0.07256308197144534
1101	95-99	0.07105015168710338
1101	100-104	0.04412002732231457
1101	105-109	0.06653821921874936
1101	110-114	0.08122591923083178
1101	115-119	0.10253367560403603
1101	120-124	0.06614836865670526
1101	125-129	-0.026753380872754917
1101	130-134	0.13246404146659074
1101	135-139	-0.04212896174425396
1101	140-144	0.08807662885707401
1101	145-149	0.15874174013517006
1101	150	0.20042162869448532
1102	1	-0.013062885501895494
1102	2	0.0070253397167476805
1102	3	-0.08757302676089296
1102	4	-0.1770585481569995
1102	5	0.052019377725848415
1102	6	-0.02872474404282599
1102	7	-0.061497509381673865
1102	8	0.09837417002767523
1102	9	-0.028263738307934716
1102	10-14	-0.004427875721063401
1102	15-19	0.04271994090338893
1102	20-24	0.10046839771214877
1102	25-29	0.030354670760004865
1102	30-34	0.08081964331712754
1102	35-39	0.054955270806011924
1102	40-44	5.953657742523433E-4
1102	45-49	0.09234709086364035
1102	50-54	0.032528072671347275
1102	55-59	-0.0032126296655761166
1102	60-64	0.06510646464543868
1102	65-69	0.06237738985440444
1102	70-74	0.007494281073682885
1102	75-79	0.15302021340621508
1102	80-84	0.06718173631260527
1102	85-89	-0.03717410093504725
1102	90-94	0.09499646097150816
1102	95-99	-0.029119861038154227
1102	100-104	0.05956171390947418
1102	105-109	-0.001964610265147826
1102	110-114	0.006870577785115017
1102	115-119	0.04016862915420916
1102	120-124	0.02787418249029372
1102	125-129	-0.08998391203591893
1102	130-134	0.07625918622300532
1102	135-139	-0.03778013903953337
1102	140-144	0.10216927494045791
1102	145-149	0.16356532289919556
1102	150	0.22713133225169457
1103	1	-0.10031658394545673
1103	2	0.13782882714069444
1103	3	0.10689655684498689
1103	4	0.09860744049901626
1103	5	-0.04566791898295719
1103	6	0.049306814814173094
1103	7	0.018754459686704195
1103	8	0.1512840901896837
1103	9	0.156195182311059
1103	10-14	0.09294365320788245
1103	15-19	0.01710368298455478
1103	20-24	0.14172501727649234
1103	25-29	0.05505050681881585
1103	30-34	-0.0070573470324291065
1103	35-39	0.026198897655234532
1103	40-44	0.05187053355949445
1103	45-49	0.1002348338050183
1103	50-54	0.05915041476505678
1103	55-59	-0.05019249543738624
1103	60-64	-1.8972445680986993E-4
1103	65-69	-0.07237946716301025
1103	70-74	0.0326893958128025
1103	75-79	0.006302173245273934
1103	80-84	-0.02767153561147495
1103	85-89	0.01121507120498677
1103	90-94	0.057946972167641775
1103	95-99	0.08766332190823789
1103	100-104	0.0833127555668085
1103	105-109	0.029979906361056408
1103	110-114	-0.03413837374757378
1103	115-119	0.02191717979442842
1103	120-124	0.08082245356314388
1103	125-129	0.016669970993802963
1103	130-134	-0.002930426773303907
1103	135-139	-0.05442443434155564
1103	140-144	0.15235412991488317
1103	145-149	-0.04131760825733721
1103	150	0.10830802421681796
1104	1	0.05129931103920882
1104	2	-0.2542201134314723
1104	3	-0.04500827300447696
1104	4	-0.15533063469538888
1104	5	-0.026459101118938122
1104	6	-0.22135024447097607
1104	7	-0.10781684658425661
1104	8	0.039180929741654325
1104	9	0.02301047802340861
1104	10-14	0.028260054720341543
1104	15-19	0.012487859341831609
1104	20-24	-0.014971137392848277
1104	25-29	-0.02033366953846638
1104	30-34	0.06502441083303268
1104	35-39	0.01201469276117706
1104	40-44	-0.028358474074096307
1104	45-49	-0.018361156777849885
1104	50-54	-0.0620566908923621
1104	55-59	-0.119276464903038
1104	60-64	-0.037570048349230944
1104	65-69	-0.1535594628824981
1104	70-74	-0.10672702710222381
1104	75-79	-0.025483515561177228
1104	80-84	-0.10544566702333924
1104	85-89	-0.031219829272998822
1104	90-94	-0.03519207327717311
1104	95-99	-0.05060734941942968
1104	100-104	-0.028639159964328087
1104	105-109	-0.034672301672046046
1104	110-114	-0.0050108856973523075
1104	115-119	-0.05068680108593071
1104	120-124	-0.006318874823818987
1104	125-129	0.058425696184642106
1104	130-134	0.008233160299539577
1104	135-139	-0.17335573205147625
1104	140-144	-0.019866031317910426
1104	145-149	-0.016379675746811984
1104	150	0.02746690272149266
1105	1	0.1144584198052172
1105	2	0.09681499818902495
1105	3	-0.0041498367726902075
1105	4	0.09004884616297915
1105	5	0.168747020167892
1105	6	0.09102135771745878
1105	7	0.14876072551674469
1105	8	0.23084777661577505
1105	9	0.0241944410015833
1105	10-14	0.16216536651528202
1105	15-19	0.14550907336341368
1105	20-24	0.20470066879043713
1105	25-29	0.07742887470246274
1105	30-34	0.17931738490477045
1105	35-39	0.13268376699943474
1105	40-44	0.22747015584466368
1105	45-49	0.13919205848355176
1105	50-54	0.09832650223956563
1105	55-59	0.09806057349556596
1105	60-64	0.11087043633674654
1105	65-69	0.12862306564434078
1105	70-74	0.06625482961121776
1105	75-79	0.14902577953934326
1105	80-84	0.10702757216962056
1105	85-89	0.11070903924041886
1105	90-94	0.23093577309958135
1105	95-99	0.16428859879614777
1105	100-104	0.14595411181013418
1105	105-109	0.23009533883569588
1105	110-114	0.1351371727475268
1105	115-119	0.19128027140791914
1105	120-124	0.14969681043304917
1105	125-129	0.14951227505423503
1105	130-134	0.27511463425235405
1105	135-139	0.02874837019102472
1105	140-144	0.25108560820951453
1105	145-149	0.36120125542115034
1105	150	0.4998465061209245
1106	1	-0.028519302405577207
1106	2	-0.25207005728124443
1106	3	0.06714647417734909
1106	4	-0.012087141724826722
1106	5	-0.023512991121350524
1106	6	-0.09651194290871956
1106	7	-9.43063764800911E-4
1106	8	0.04454363177585918
1106	9	-0.04804088166499554
1106	10-14	0.03988599470356746
1106	15-19	-0.06733217562767635
1106	20-24	0.0787180035797661
1106	25-29	-0.01872592507174886
1106	30-34	-0.02546629950288093
1106	35-39	-0.0022986397192354957
1106	40-44	0.08330442555204343
1106	45-49	0.007004530458281977
1106	50-54	-0.00703799784219683
1106	55-59	-0.020397337150612316
1106	60-64	0.026046026252380727
1106	65-69	0.05907078432065305
1106	70-74	0.010767677718163782
1106	75-79	-0.04385672266310792
1106	80-84	-0.02941399545241552
1106	85-89	-0.08360941233980412
1106	90-94	0.002488993434972997
1106	95-99	0.048406112419733915
1106	100-104	0.10852447174703883
1106	105-109	0.13557589654535462
1106	110-114	0.059458103740716695
1106	115-119	-0.061900498898211254
1106	120-124	0.10115834524242473
1106	125-129	0.06218207527686559
1106	130-134	0.04750135936986055
1106	135-139	-0.0502531121813945
1106	140-144	0.16029161577436213
1106	145-149	0.05830403500133485
1106	150	0.11080023605482836
1107	1	0.09704217425792905
1107	2	-0.06106871027390781
1107	3	0.20153058056409634
1107	4	0.1984377618111992
1107	5	0.032132901579586814
1107	6	0.035779203872145615
1107	7	0.07434981641593907
1107	8	0.09954017034266371
1107	9	0.08442199513481796
1107	10-14	0.14417656189561967
1107	15-19	0.07133981466957806
1107	20-24	0.20743501934136077
1107	25-29	0.11985376034031958
1107	30-34	0.03784304529342819
1107	35-39	0.0662527639053323
1107	40-44	0.0292384490253923
1107	45-49	0.14638061383320178
1107	50-54	0.11887767198538057
1107	55-59	0.0168584171466577
1107	60-64	0.06918138707326449
1107	65-69	0.13027434342529887
1107	70-74	0.15938820267535903
1107	75-79	0.13883074480209956
1107	80-84	0.06019365511993158
1107	85-89	0.0644819694965264
1107	90-94	0.10523184383129802
1107	95-99	0.04277980767408707
1107	100-104	0.14929639818218732
1107	105-109	0.21746964932926716
1107	110-114	0.1067944101500018
1107	115-119	0.07268217032294189
1107	120-124	0.08414097367769102
1107	125-129	0.08210705072482938
1107	130-134	0.24309541107133015
1107	135-139	0.18911062809841184
1107	140-144	0.28395332910329074
1107	145-149	0.2134336643328183
1107	150	0.2548924550750016
1108	1	-0.03402756123320927
1108	2	-0.04332947953717081
1108	3	0.1032154217687733
1108	4	0.15340274437135548
1108	5	0.12950764971667184
1108	6	0.07383461095791688
1108	7	-0.03771701151645601
1108	8	0.01919567146950385
1108	9	0.04921353437767095
1108	10-14	0.024017794127459524
1108	15-19	0.028676028010551136
1108	20-24	0.135240501274275
1108	25-29	-0.008223559048481377
1108	30-34	0.019928589602017155
1108	35-39	0.11801355429110316
1108	40-44	0.045981432221054774
1108	45-49	0.060441406239391426
1108	50-54	-0.050870492652613564
1108	55-59	0.010610563836031872
1108	60-64	-0.021856242210247956
1108	65-69	-0.06651466846391685
1108	70-74	0.034279789122436455
1108	75-79	0.03691778054321304
1108	80-84	-0.02917401054939006
1108	85-89	0.015659595069820398
1108	90-94	0.12044335357612113
1108	95-99	0.044234505411033354
1108	100-104	0.09510596869738208
1108	105-109	0.02456828040725867
1108	110-114	-4.248947175327089E-4
1108	115-119	-0.020796853192827314
1108	120-124	-0.041399808369284585
1108	125-129	0.03571394804924921
1108	130-134	0.11391237446327551
1108	135-139	0.0017132329624587328
1108	140-144	0.04494575622605623
1108	145-149	0.07650087247031223
1108	150	0.1579640346526574
1109	1	-0.13841029182466258
1109	2	0.02590959194266418
1109	3	0.14173575026811847
1109	4	0.10013026048313378
1109	5	0.11066660154297381
1109	6	0.17347466421031754
1109	7	0.07333139958618773
1109	8	-0.056762040722851737
1109	9	0.1182389388383811
1109	10-14	0.09509988061329011
1109	15-19	0.0732962759738669
1109	20-24	0.08833419882769533
1109	25-29	0.03805562156588849
1109	30-34	0.12501952592011634
1109	35-39	0.10584220429904434
1109	40-44	0.15070529955758616
1109	45-49	0.03991366696428855
1109	50-54	0.026625622077446565
1109	55-59	0.05620674047474239
1109	60-64	0.15595270295037267
1109	65-69	0.14856510968762393
1109	70-74	0.022543808509524865
1109	75-79	0.11590700770778284
1109	80-84	0.04975020340252456
1109	85-89	0.07548307324017145
1109	90-94	0.1510517932407538
1109	95-99	0.0800538636429664
1109	100-104	-0.0023557766882404962
1109	105-109	0.033888180111596
1109	110-114	-0.019912057347355017
1109	115-119	-0.0057656523293943
1109	120-124	0.06651080211574367
1109	125-129	0.11336529095560621
1109	130-134	0.20371570949498619
1109	135-139	-0.046936373214521154
1109	140-144	0.23695972310949287
1109	145-149	0.2653553067914487
1109	150	0.19484990176638206
1110	1	0.17869166866876895
1110	2	0.12399561776084767
1110	3	0.05432534332539518
1110	4	0.0012731872217202067
1110	5	0.08078256085145341
1110	6	0.04989462316714821
1110	7	-0.05957996383997255
1110	8	0.061940804735250765
1110	9	0.012004718067906595
1110	10-14	0.06997289129715512
1110	15-19	-0.01097133426439001
1110	20-24	0.049461686302755936
1110	25-29	0.029971161651658917
1110	30-34	-0.01774219752659434
1110	35-39	0.03271174252221698
1110	40-44	-0.013594471234377181
1110	45-49	-0.02654073272216806
1110	50-54	0.0938895300059599
1110	55-59	0.0957327202864775
1110	60-64	0.06779102840382478
1110	65-69	0.14138026617271038
1110	70-74	-0.02011837472688427
1110	75-79	0.008437279561526623
1110	80-84	-0.040584323131305666
1110	85-89	0.01881822888278606
1110	90-94	0.10841927976345289
1110	95-99	0.08746690789760692
1110	100-104	0.026963439700459446
1110	105-109	0.15220605128806852
1110	110-114	0.11693769187908032
1110	115-119	0.03710055628747
1110	120-124	0.15289815180956623
1110	125-129	0.15201033532746067
1110	130-134	0.21278842879250703
1110	135-139	-0.010550992347305055
1110	140-144	0.15240896813317306
1110	145-149	0.2673045367055238
1110	150	0.30191560837825193
1111	1	-0.007466026270876114
1111	2	0.08247352426103305
1111	3	-0.0863101171729781
1111	4	0.0038045698759034963
1111	5	0.16501918671309568
1111	6	0.06621601418509471
1111	7	0.011400747580552206
1111	8	0.021451663717762415
1111	9	0.08863792350305033
1111	10-14	-0.012612123288427313
1111	15-19	0.009518585640051924
1111	20-24	0.030531394832117087
1111	25-29	0.015130768573371256
1111	30-34	-0.0481202729710688
1111	35-39	-0.01068969396789754
1111	40-44	0.045062022921193545
1111	45-49	-0.07465480628248145
1111	50-54	-0.021529279372579424
1111	55-59	0.03452704034597076
1111	60-64	-0.026877119384408843
1111	65-69	0.06321228250708799
1111	70-74	-0.0648973284591392
1111	75-79	-0.007976465197216953
1111	80-84	0.012214941005957769
1111	85-89	-0.012214853414043603
1111	90-94	-0.040257261459139215
1111	95-99	-0.024657580494192644
1111	100-104	0.15285197355700575
1111	105-109	0.09082048554722633
1111	110-114	-0.006578945702962358
1111	115-119	-0.04018951049281583
1111	120-124	-0.02146645259929869
1111	125-129	-0.04785614119188608
1111	130-134	0.14264631901025382
1111	135-139	-0.15724841886765972
1111	140-144	0.0704162785437461
1111	145-149	0.0525481521504787
1111	150	0.07727347912381077
1112	1	-0.02851754062942291
1112	2	0.037490185773393137
1112	3	0.059354138255969247
1112	4	0.023280514531506924
1112	5	0.03963787505589522
1112	6	-0.05336075961177045
1112	7	0.0861661963068272
1112	8	0.11682578375019403
1112	9	0.05012704731428386
1112	10-14	-0.032886283396322824
1112	15-19	0.11334149233741897
1112	20-24	0.16946955966855626
1112	25-29	0.06272944297209904
1112	30-34	0.15307174341045737
1112	35-39	0.1882335752385913
1112	40-44	0.04645899145921106
1112	45-49	0.12286527262409663
1112	50-54	0.0915351396521018
1112	55-59	0.07752746671965127
1112	60-64	0.019227600187974758
1112	65-69	0.0563555349148146
1112	70-74	0.053614426096011414
1112	75-79	0.06919680538172202
1112	80-84	0.13219795925584776
1112	85-89	0.0896302649732803
1112	90-94	0.0690880078974061
1112	95-99	0.12231544084828272
1112	100-104	0.22824984608043053
1112	105-109	0.19347772685460285
1112	110-114	0.1153427003556402
1112	115-119	0.034372816006943196
1112	120-124	0.170148442298661
1112	125-129	0.010274512148015447
1112	130-134	0.22088021699896387
1112	135-139	0.054790324409630387
1112	140-144	0.142793302675031
1112	145-149	0.15714091038562117
1112	150	0.24955772580569402
1113	1	-0.08767905310793367
1113	2	-0.06447250720104591
1113	3	0.21627296366615667
1113	4	0.09772868372376564
1113	5	-0.028669017428924803
1113	6	-0.06160381490148836
1113	7	0.07582683106948451
1113	8	0.15621089047059655
1113	9	0.05869639780454605
1113	10-14	0.04696234479668249
1113	15-19	-0.017315491200164956
1113	20-24	0.1029545564694061
1113	25-29	-0.003247082002239665
1113	30-34	0.07865529229913903
1113	35-39	-0.013443837295156413
1113	40-44	0.09765088038030711
1113	45-49	2.68327403411206E-4
1113	50-54	0.022436388870538337
1113	55-59	0.02880557778033932
1113	60-64	0.02965847391173071
1113	65-69	0.11353521419762558
1113	70-74	-0.007819850941380935
1113	75-79	0.12861935402067104
1113	80-84	0.019506898832894137
1113	85-89	0.009222742319458632
1113	90-94	0.07807698495283688
1113	95-99	0.017622805458557878
1113	100-104	0.08541384861058532
1113	105-109	0.24685779878537772
1113	110-114	0.10287421336278868
1113	115-119	-0.03110642779024886
1113	120-124	-0.01390392534670326
1113	125-129	0.10853894979919687
1113	130-134	0.08251282318618536
1113	135-139	0.13031545005151202
1113	140-144	0.07663266700092919
1113	145-149	0.12077376083852442
1113	150	0.3073320279623388
1114	1	-0.10253676694127734
1114	2	0.13539304049920986
1114	3	0.17661137202277644
1114	4	0.14260305715217214
1114	5	0.08071858173423152
1114	6	4.022060635193725E-4
1114	7	-0.05792381869146368
1114	8	0.15972648748839902
1114	9	0.0804897931108357
1114	10-14	0.08356863650306678
1114	15-19	0.07114714226486285
1114	20-24	0.08211114380554108
1114	25-29	0.01442935449751559
1114	30-34	0.03564892418270915
1114	35-39	0.1521124958306217
1114	40-44	0.020183212301155606
1114	45-49	0.046258728390860426
1114	50-54	0.09156544287370849
1114	55-59	0.021304168051649697
1114	60-64	0.05793202923829455
1114	65-69	0.12372897612521427
1114	70-74	-8.610260397858838E-4
1114	75-79	0.03473013757267296
1114	80-84	0.04851994180804553
1114	85-89	0.14216631092594412
1114	90-94	0.15260837644229497
1114	95-99	0.13280324154688117
1114	100-104	0.0911714193587585
1114	105-109	0.01358048724360117
1114	110-114	0.0826931435853524
1114	115-119	0.04556444510273394
1114	120-124	0.08800650958445289
1114	125-129	0.07832869358674799
1114	130-134	0.21636449584994466
1114	135-139	0.17901693839439048
1114	140-144	0.24124305840039995
1114	145-149	0.1720125771439811
1114	150	0.3484869217872699
1115	1	0.07516424075655692
1115	2	-0.20529229541968164
1115	3	0.16429375754437103
1115	4	0.01813775442185772
1115	5	0.08953989846784793
1115	6	-0.005688703109690607
1115	7	0.07612325911157569
1115	8	0.08121459582112323
1115	9	0.13267715193943985
1115	10-14	0.09824439607872648
1115	15-19	0.08206804826043879
1115	20-24	0.03478818348607149
1115	25-29	0.06963030108708068
1115	30-34	0.1371284683060452
1115	35-39	0.13244487044325837
1115	40-44	0.1648050064939639
1115	45-49	0.14092782490298816
1115	50-54	0.16106590322259962
1115	55-59	0.10954159763003446
1115	60-64	0.05711978730752776
1115	65-69	0.20501400586908858
1115	70-74	0.14176981579664982
1115	75-79	0.1597212429260253
1115	80-84	0.13173345768758793
1115	85-89	0.08825814351285999
1115	90-94	0.10936002432836034
1115	95-99	0.1959154897242712
1115	100-104	0.09862246258990837
1115	105-109	0.04727060228102431
1115	110-114	0.12491089358829299
1115	115-119	0.1430812770332892
1115	120-124	0.14784697628859078
1115	125-129	0.040183741174239174
1115	130-134	0.10495571961752148
1115	135-139	-0.05845102503480604
1115	140-144	0.32269538897887884
1115	145-149	0.003864736800402113
1115	150	0.12029691221816563
1116	1	-0.04421650982987302
1116	2	-0.1032131295107277
1116	3	-0.037954217753252806
1116	4	0.032818109527745776
1116	5	0.10312363545584446
1116	6	0.03720247453325953
1116	7	-0.002138904256973717
1116	8	-0.017233055818017817
1116	9	0.030610844199379983
1116	10-14	0.019883041121623535
1116	15-19	-0.011758010104621519
1116	20-24	0.057610698507168934
1116	25-29	0.021320323699093535
1116	30-34	-0.05508352248751436
1116	35-39	-0.025003040196139636
1116	40-44	-0.05629194226256118
1116	45-49	-0.041772794677065406
1116	50-54	-0.011471252293283385
1116	55-59	-0.005705067971241817
1116	60-64	-0.024942883407625516
1116	65-69	-0.0702499998913666
1116	70-74	0.008603638658840396
1116	75-79	0.02606608799428045
1116	80-84	-0.04658583268843586
1116	85-89	0.02492247734031139
1116	90-94	-0.012017416198013109
1116	95-99	-0.09931908919825361
1116	100-104	0.03292934299607708
1116	105-109	0.015772129647807276
1116	110-114	0.03906902334925633
1116	115-119	0.047237955658054886
1116	120-124	0.08259544295195553
1116	125-129	-6.607833582279454E-4
1116	130-134	0.03665018748220206
1116	135-139	-0.10889251944792733
